Point precipitation frequency estimates (inches)
NOAA Atlas 14 Volume 8 Version 2
Data type: Precipitation depth
Time series type: Partial duration
Project area: Midwestern States
Location name (ESRI Maps): Ann Arbor, Michigan, USA
Station Name: ANN ARBOR U OF MICH
Latitude: 42.2919°
Longitude: -83.7218°
Elevation (USGS): 900 ft


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 0.321,0.378,0.473,0.553,0.666,0.755,0.845,0.939,1.07,1.16
10-min:, 0.470,0.553,0.692,0.810,0.975,1.11,1.24,1.38,1.56,1.70
15-min:, 0.573,0.675,0.844,0.988,1.19,1.35,1.51,1.68,1.90,2.08
30-min:, 0.767,0.906,1.14,1.33,1.61,1.83,2.05,2.29,2.60,2.84
60-min:, 0.969,1.14,1.44,1.70,2.08,2.38,2.69,3.02,3.48,3.84
2-hr:, 1.17,1.38,1.75,2.07,2.54,2.93,3.33,3.76,4.37,4.84
3-hr:, 1.30,1.53,1.93,2.29,2.82,3.27,3.74,4.25,4.97,5.55
6-hr:, 1.55,1.79,2.22,2.62,3.23,3.75,4.32,4.93,5.80,6.51
12-hr:, 1.82,2.06,2.49,2.90,3.54,4.09,4.69,5.34,6.29,7.06
24-hr:, 2.10,2.35,2.82,3.26,3.93,4.50,5.11,5.78,6.74,7.53
2-day:, 2.37,2.69,3.26,3.76,4.50,5.12,5.76,6.46,7.42,8.20
3-day:, 2.59,2.93,3.52,4.04,4.81,5.44,6.11,6.82,7.81,8.59
4-day:, 2.79,3.14,3.74,4.28,5.06,5.71,6.39,7.11,8.12,8.93
7-day:, 3.31,3.70,4.36,4.95,5.79,6.48,7.21,7.97,9.03,9.87
10-day:, 3.77,4.20,4.92,5.54,6.45,7.17,7.93,8.73,9.82,10.7
20-day:, 5.12,5.64,6.51,7.24,8.28,9.09,9.93,10.8,12.0,12.8
30-day:, 6.29,6.91,7.92,8.76,9.90,10.8,11.7,12.6,13.7,14.6
45-day:, 7.84,8.61,9.83,10.8,12.1,13.1,14.0,14.9,16.1,16.9
60-day:, 9.19,10.1,11.5,12.7,14.1,15.2,16.1,17.0,18.1,18.9

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 0.370,0.436,0.546,0.642,0.795,0.911,1.04,1.18,1.37,1.52
10-min:, 0.541,0.638,0.800,0.939,1.16,1.34,1.53,1.73,2.01,2.22
15-min:, 0.660,0.778,0.976,1.15,1.42,1.63,1.86,2.11,2.45,2.71
30-min:, 0.884,1.04,1.31,1.55,1.92,2.21,2.53,2.88,3.36,3.72
60-min:, 1.12,1.32,1.67,1.97,2.49,2.88,3.33,3.83,4.51,5.02
2-hr:, 1.34,1.58,2.00,2.38,3.04,3.53,4.10,4.74,5.62,6.29
3-hr:, 1.48,1.74,2.20,2.63,3.37,3.94,4.60,5.34,6.38,7.17
6-hr:, 1.75,2.03,2.52,2.99,3.85,4.50,5.28,6.16,7.42,8.36
12-hr:, 2.05,2.32,2.81,3.29,4.19,4.87,5.70,6.64,7.98,9.00
24-hr:, 2.34,2.63,3.16,3.66,4.60,5.31,6.16,7.12,8.49,9.53
2-day:, 2.63,2.99,3.62,4.20,5.21,5.97,6.87,7.87,9.26,10.3
3-day:, 2.86,3.24,3.90,4.49,5.54,6.32,7.24,8.27,9.69,10.8
4-day:, 3.07,3.46,4.13,4.74,5.81,6.61,7.55,8.60,10.0,11.1
7-day:, 3.62,4.05,4.79,5.45,6.59,7.45,8.46,9.57,11.1,12.2
