WaterYear,CO2filled,SeasonallyAdjustedFilled
1957,-99.99,-99.99
1957,-99.99,-99.99
1957,315.7,314.43
1957,317.45,315.16
1957,317.51,314.71
1957,317.24,315.14
1957,315.86,315.18
1957,314.93,316.18
1957,313.2,316.08
1958,312.43,315.41
1958,313.33,315.2
1958,314.67,315.43
1958,315.58,315.55
1958,316.48,315.86
1958,316.65,315.38
1958,317.72,315.41
1958,318.29,315.49
1958,318.15,316.03
1958,316.54,315.86
1958,314.8,316.06
1958,313.84,316.73
1959,313.33,316.33
1959,314.81,316.68
1959,315.58,316.35
1959,316.43,316.4
1959,316.98,316.36
1959,317.58,316.28
1959,319.03,316.7
1959,320.04,317.22
1959,319.59,317.47
1959,318.18,317.52
1959,315.9,317.19
1959,314.17,317.08
1960,313.83,316.83
1960,315,316.88
1960,316.19,316.96
1960,316.89,316.86
1960,317.7,317.08
1960,318.54,317.26
1960,319.48,317.16
1960,320.58,317.76
1960,319.77,317.63
1960,318.57,317.88
1960,316.79,318.06
1960,314.99,317.9
1961,315.31,318.32
1961,316.1,317.99
1961,317.01,317.79
1961,317.94,317.91
1961,318.55,317.92
1961,319.68,318.39
1961,320.57,318.24
1961,321.02,318.18
1961,320.62,318.47
1961,319.61,318.92
1961,317.4,318.68
1961,316.25,319.17
1962,315.42,318.45
1962,316.69,318.58
1962,317.7,318.47
1962,318.74,318.7
1962,319.07,318.44
1962,319.86,318.57
1962,321.38,319.05
1962,322.25,319.4
1962,321.48,319.32
1962,319.74,319.05
1962,317.77,319.05
1962,316.21,319.14
1963,315.99,319.02
1963,317.07,318.97
1963,318.35,319.13
1963,319.57,319.54
1963,320.01,319.37
1963,320.74,319.41
1963,321.84,319.45
1963,322.26,319.4
1963,321.89,319.75
1963,320.44,319.77
1963,318.69,320
1963,316.7,319.66
1964,316.87,319.91
1964,317.68,319.58
1964,318.71,319.49
1964,319.44,319.4
1964,320.44,319.81
1964,320.89,319.59
1964,322.14,319.78
1964,322.17,319.3
1964,321.87,319.7
1964,321.21,320.51
1964,318.87,320.15
1964,317.81,320.77
1965,317.3,320.36
1965,318.87,320.78
1965,319.42,320.2
1965,320.62,320.59
1965,321.6,320.96
1965,322.39,321.08
1965,323.7,321.34
