Interval Size;Interval Size;Return Frequency of Peak Duration;Rainfall of Peak Duration;Interval Start Date;Interval Ending on Date
water year = 1957-1958
1;1;0;2.01;8/5/1958;8/6/1958
2;2;1.34375;2.48;8/5/1958;8/7/1958
3;3;0;2.48;8/4/1958;8/7/1958
4;4;0;2.52;8/3/1958;8/7/1958
5;5;0;2.52;8/2/1958;8/7/1958
6;6;0;2.52;8/2/1958;8/8/1958
7;7;0;2.55;8/3/1958;8/10/1958
8;8;0;3.07;10/15/1957;10/23/1957
9;9;0;3.56;10/15/1957;10/24/1957
10;10;0;3.56;10/14/1957;10/24/1957
11;11;0;3.56;10/15/1957;10/26/1957
12;12;0;3.56;10/12/1957;10/24/1957
13;13;0;3.56;10/13/1957;10/26/1957
14;14;0;3.56;10/15/1957;10/29/1957
15;15;0;3.62;10/15/1957;10/30/1957
16;16;0;3.64;10/15/1957;10/31/1957
17;17;0;3.64;10/14/1957;10/31/1957
18;18;0;3.64;10/15/1957;11/2/1957
19;19;0;3.64;10/14/1957;11/2/1957
20;20;0;3.8;6/24/1958;7/14/1958
21;21;0;4.08;6/24/1958;7/15/1958
22;22;0;4.19;6/23/1958;7/15/1958
23;23;0;4.2;6/23/1958;7/16/1958
24;24;0;4.2;6/22/1958;7/16/1958
25;25;0;4.36;10/15/1957;11/9/1957
26;26;0;4.36;10/15/1957;11/10/1957
27;27;0;4.42;6/17/1958;7/14/1958
28;28;0;4.7;6/17/1958;7/15/1958
29;29;0;5;10/16/1957;11/14/1957
30;30;0;5.8;10/15/1957;11/14/1957
31;31;0;5.83;10/15/1957;11/15/1957
32;32;0;5.83;10/15/1957;11/16/1957
33;33;0;5.83;10/13/1957;11/15/1957
34;34;0;5.94;10/15/1957;11/18/1957
35;35;0;6.02;10/15/1957;11/19/1957
36;36;0;6.34;7/2/1958;8/7/1958
37;37;0;6.340001;7/1/1958;8/7/1958
38;38;0;6.340001;7/1/1958;8/8/1958
39;39;0;6.37;7/2/1958;8/10/1958
40;40;0;6.37;7/2/1958;8/11/1958
41;41;0;6.37;7/1/1958;8/11/1958
42;42;0;6.37;7/1/1958;8/12/1958
43;43;0;6.41;6/24/1958;8/6/1958
44;44;0;6.880001;6/24/1958;8/7/1958
45;45;0;6.99;6/23/1958;8/7/1958
46;46;0;6.99;6/23/1958;8/8/1958
47;47;0;6.99;6/21/1958;8/7/1958
48;48;0;7.02;6/23/1958;8/10/1958
49;49;0;7.11;6/19/1958;8/7/1958
50;50;0;7.300001;7/2/1958;8/21/1958
51;51;0;7.5;6/17/1958;8/7/1958
52;52;0;7.5;6/17/1958;8/8/1958
53;53;0;7.5;6/17/1958;8/9/1958
54;54;0;7.53;6/17/1958;8/10/1958
55;55;0;7.53;6/16/1958;8/10/1958
56;56;0;7.61;6/12/1958;8/7/1958
