Duration,RF_of_PD,PeakDurationRainfall,WaterYear
1,0,2.01,1957
2,1.34375,2.48,1957
3,0,2.48,1957
4,0,2.52,1957
5,0,2.52,1957
6,0,2.52,1957
7,0,2.55,1957
8,0,3.07,1957
9,0,3.56,1957
10,0,3.56,1957
11,0,3.56,1957
12,0,3.56,1957
13,0,3.56,1957
14,0,3.56,1957
15,0,3.62,1957
16,0,3.64,1957
17,0,3.64,1957
18,0,3.64,1957
19,0,3.64,1957
20,0,3.8,1957
21,0,4.08,1957
22,0,4.19,1957
23,0,4.2,1957
24,0,4.2,1957
25,0,4.36,1957
26,0,4.36,1957
27,0,4.42,1957
28,0,4.7,1957
29,0,5,1957
30,0,5.8,1957
31,0,5.83,1957
32,0,5.83,1957
33,0,5.83,1957
34,0,5.94,1957
35,0,6.02,1957
36,0,6.34,1957
37,0,6.340001,1957
38,0,6.340001,1957
39,0,6.37,1957
40,0,6.37,1957
41,0,6.37,1957
42,0,6.37,1957
43,0,6.41,1957
44,0,6.880001,1957
45,0,6.99,1957
46,0,6.99,1957
47,0,6.99,1957
48,0,7.02,1957
49,0,7.11,1957
50,0,7.300001,1957
51,0,7.5,1957
52,0,7.5,1957
53,0,7.5,1957
54,0,7.53,1957
55,0,7.53,1957
56,0,7.61,1957
57,0,7.61,1957
58,0,7.840001,1957
59,0,7.950001,1957
60,0,8.42,1957
1,0,1.85,1958
2,0,1.89,1958
3,0,2.33,1958
4,0,2.33,1958
5,0,2.43,1958
6,0,2.55,1958
7,0,2.91,1958
8,0,2.91,1958
9,0,2.91,1958
10,1.906976744,4.16,1958
11,1.671981777,4.2,1958
12,2.608,4.64,1958
13,2.031372549,4.64,1958
14,1.729613734,4.65,1958
15,1.431578947,4.65,1958
16,1.144628099,4.65,1958
17,0,4.65,1958
18,0,4.83,1958
19,2.750877193,5.71,1958
20,2.413793103,5.76,1958
21,3.435520362,6.19,1958
22,3.155902004,6.24,1958
23,2.720394737,6.24,1958
24,2.298056156,6.24,1958
25,1.938596491,6.24,1958
26,1.720689655,6.24,1958
27,1.510169492,6.24,1958
28,1.423333333,6.31,1958
29,1.306557377,6.36,1958
30,1.790322581,6.78,1958
31,1.629630159,6.79,1958
32,2.240849711,7.22,1958
33,1.953846154,7.22,1958
34,1.782828788,7.22,1958
35,1.616915846,7.22,1958
36,1.573529412,7.3,1958
37,1.41545942,7.3,1958
38,1.261904286,7.3,1958
39,1.169014085,7.34,1958
40,1.023148611,7.34,1958
41,0,7.4,1958
42,0,7.4,1958
43,0,7.510001,1958
44,1.135964653,7.84,1958
45,1,7.84,1958
46,0,7.84,1958
47,0,7.84,1958
48,0,7.84,1958
49,0,7.840001,1958
50,0,7.84,1958
51,0,7.96,1958
52,0,7.96,1958
53,0,7.960001,1958
54,0,8.04,1958
55,0,8.040001,1958
56,0,8.05,1958
57,0,8.05,1958
58,0,8.200001,1958
59,0,8.2,1958
60,0,8.200001,1958
1,2.191489362,2.38,1959
2,2.210526316,2.73,1959
3,3.016949153,3.13,1959
4,1.971428571,3.13,1959
5,5.029937108,3.95,1959
6,5.494181382,4.21,1959
7,4.318181818,4.21,1959
8,3.514704412,4.21,1959
9,2.757143204,4.21,1959
10,4.5,4.8,1959
11,4.92244898,5.06,1959
12,4.488,5.11,1959
13,4.266666667,5.21,1959
14,3.669230769,5.21,1959
15,3.094339623,5.21,1959
16,2.540740741,5.21,1959
17,2.916367273,5.460001,1959
18,3.457142857,5.76,1959
19,11.46056475,7.17,1959
20,12.74038462,7.43,1959
21,19.97143807,8.09,1959
22,21.40566038,8.35,1959
23,19.1682243,8.35,1959
24,16.97222868,8.35,1959
25,14.81652752,8.350001,1959
26,12.7,8.35,1959
27,10.62163514,8.350001,1959
28,9.35207824,8.35,1959
29,12.01769912,8.76,1959
30,10,8.76,1959
31,9.198736605,8.759999,1959
32,9.930009856,9.02,1959
33,9.145496536,9.02,1959
34,8.376523153,9.02,1959
35,9.377359665,9.330001,1959
36,10.1744186,9.59,1959
37,9.766844757,9.670001,1959
38,9.021257292,9.67,1959
39,8.289765795,9.670001,1959
40,7.571946095,9.670001,1959
41,6.867434521,9.670001,1959
42,6.175847458,9.67,1959
43,7.228829411,10,1959
44,7.222609416,10.13,1959
45,7.680412371,10.35,1959
46,7.124486343,10.36,1959
47,6.53563648,10.36,1959
48,6.309055118,10.43,1959
49,5.895291562,10.46,1959
50,5.732472818,10.54,1959
51,6.139359699,10.74,1959
52,5.977732192,10.82,1959
53,5.500292863,10.83,1959
54,4.995481928,10.83,1959
55,5.296748981,11.01,1959
56,5.111227232,11.08,1959
57,4.81085044,11.08,1959
58,5.396249166,11.37,1959
59,5.849737477,11.59,1959
60,5.708333333,11.67,1959
1,0,1.82,1960
2,0,2.16,1960
